sampling_date,year,month,day,transect_id,distance_along_transect_m,dominant_seaweed,brown.fucus_distichus_percent_cover,red.mastocarpus_sp_percent_cover,red.petrocelis_mastocapus_crustose_percent_cover,green.ulva_fenestrata_percent_cover,red_filament_percent_cover,polyneura_latissima_percent_cover,red.chondracanthus_exasperatus_percent_cover,brown.sargassum_muticum_percent_cover,red.mazzaella_splendens_percent_cover,red.prionitis_sp_percent_cover,red.sarcodiotheca_gaudichaudii_percent_cover,crustose_coralline_percent_cover,unknown_percent_cover,melanosiphon_intestinalis_percent_cover,hildenbrandia_sp_percent_cover,petalonia_sp_percent_cover,cryptosiphonia_woodii_percent_cover,polysiphonia_sp_percent_cover,green.ulva_intestinalis_percent_cover,red.pyropia_sp_percent_cover,laminariales.sp_percent_cover,cladophora_stimpsonii_percent_cover,green.ulva_long_percent_cover,fil_brown_percent_cover,fil_green_percent_cover,rhizoclonium_tortuosum_percent_cover,scytosiphon_sp_percent_cover,laminariales.saccharina_latissima_percent_cover,hollenbergia_subulata_percent_cover,laminariales.nereocystis_luetkeana_percent_cover,brown.desmarestia_viridis_percent_cover,laminariales.alaria_marginata_percent_cover,green.ulva_linza_percent_cover
2021-09-05,2021,9,5,1,0,fucus_distichus,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,1,5,no_seaweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,1,10,no_seaweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,1,15,fucus_distichus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,1,20,no_seaweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,1,25,no_seaweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,1,30,fucus_distichus,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,2,0,fucus_distichus,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,2,5,mastocarpus_sp,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,2,10,fucus_distichus,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,2,15,fucus_distichus,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,2,20,fucus_distichus,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,2,25,fucus_distichus,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,2,30,ulva_fenestrata,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,0,fucus_distichus,70,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,5,fucus_distichus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,10,mastocarpus_sp,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,15,ulva_fenestrata,,,,10,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,20,ulva_fenestrata,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,25,ulva_fenestrata,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,30,ulva_fenestrata,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,35,no_seaweed,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,40,ulva_fenestrata,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,45,ulva_fenestrata,,,,10,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,50,ulva_fenestrata,,,,30,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,55,ulva_fenestrata,,,,20,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2021-09-05,2021,9,5,3,60,ulva_fenestrata,,,,10,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
