"","year","month","day","species","any_repro"
"1",2022,4,20,"saccharina_latissima","1"
"2",2022,4,20,"nereocystis_luetkeana","0"
"3",2022,4,20,"alaria_marginata","0"
"4",2022,4,20,"costaria_costata","0"
"5",2022,5,19,"saccharina_latissima","0"
"6",2022,5,19,"nereocystis_luetkeana","1"
"7",2022,5,19,"alaria_marginata","0"
"8",2022,5,19,"costaria_costata","0"
"9",2022,6,15,"saccharina_latissima","0"
"10",2022,6,15,"nereocystis_luetkeana","0"
"11",2022,6,15,"alaria_marginata","0"
"12",2022,6,15,"costaria_costata","0"
"13",2022,7,14,"saccharina_latissima","0"
"14",2022,7,14,"nereocystis_luetkeana","1"
"15",2022,7,14,"alaria_marginata","0"
"16",2022,7,14,"costaria_costata","0"
"17",2022,8,25,"saccharina_latissima","0"
"18",2022,8,25,"nereocystis_luetkeana","0"
"19",2022,8,25,"alaria_marginata","0"
"20",2022,8,25,"costaria_costata","0"
"21",2022,9,23,"saccharina_latissima","0"
"22",2022,9,23,"nereocystis_luetkeana","1"
"23",2022,9,23,"alaria_marginata","0"
"24",2022,9,23,"costaria_costata","0"
"25",2022,10,13,"saccharina_latissima","1"
"26",2022,10,13,"nereocystis_luetkeana","0"
"27",2022,10,13,"alaria_marginata","0"
"28",2022,10,13,"costaria_costata","0"
"29",2022,10,27,"saccharina_latissima","1"
"30",2022,10,27,"nereocystis_luetkeana","0"
"31",2022,10,27,"alaria_marginata","0"
"32",2022,10,27,"costaria_costata","0"
"33",2022,12,25,"saccharina_latissima","1"
"34",2022,12,25,"nereocystis_luetkeana","0"
"35",2022,12,25,"alaria_marginata","0"
"36",2022,12,25,"costaria_costata","0"
"37",2023,1,21,"saccharina_latissima","0"
"38",2023,1,21,"nereocystis_luetkeana","0"
"39",2023,1,21,"alaria_marginata","0"
"40",2023,1,21,"costaria_costata","0"
"41",2023,2,18,"saccharina_latissima","1"
"42",2023,2,18,"nereocystis_luetkeana","0"
"43",2023,2,18,"alaria_marginata","0"
"44",2023,2,18,"costaria_costata","0"
"45",2023,3,18,"saccharina_latissima","0"
"46",2023,3,18,"nereocystis_luetkeana","0"
"47",2023,3,18,"alaria_marginata","0"
"48",2023,3,18,"costaria_costata","0"
"49",2023,4,10,"saccharina_latissima","0"
"50",2023,4,10,"nereocystis_luetkeana","0"
"51",2023,4,10,"alaria_marginata","0"
"52",2023,4,10,"costaria_costata","0"
"53",2023,5,8,"saccharina_latissima","1"
"54",2023,5,8,"nereocystis_luetkeana","1"
"55",2023,5,8,"alaria_marginata","0"
"56",2023,5,8,"costaria_costata","0"
"57",2023,6,6,"saccharina_latissima","1"
"58",2023,6,6,"nereocystis_luetkeana","1"
"59",2023,6,6,"alaria_marginata","0"
"60",2023,6,6,"costaria_costata","0"
"61",2023,7,4,"saccharina_latissima","0"
"62",2023,7,4,"nereocystis_luetkeana","1"
"63",2023,7,4,"alaria_marginata","0"
"64",2023,7,4,"costaria_costata","0"
"65",2023,8,1,"saccharina_latissima","1"
"66",2023,8,1,"nereocystis_luetkeana","1"
"67",2023,8,1,"alaria_marginata","0"
"68",2023,8,1,"costaria_costata","0"
"69",2023,9,1,"saccharina_latissima","1"
"70",2023,9,1,"nereocystis_luetkeana","0"
"71",2023,9,1,"alaria_marginata","0"
"72",2023,9,1,"costaria_costata","0"
"73",2023,10,20,"saccharina_latissima","0"
"74",2023,10,20,"nereocystis_luetkeana","0"
"75",2023,10,20,"alaria_marginata","0"
"76",2023,10,20,"costaria_costata","0"
"77",2023,11,17,"saccharina_latissima","1"
"78",2023,11,17,"nereocystis_luetkeana","0"
"79",2023,11,17,"alaria_marginata","0"
"80",2023,11,17,"costaria_costata","0"
"81",2023,12,12,"saccharina_latissima","1"
"82",2023,12,12,"nereocystis_luetkeana","0"
"83",2023,12,12,"alaria_marginata","0"
"84",2023,12,12,"costaria_costata","1"
"85",2024,1,22,"saccharina_latissima","0"
"86",2024,1,22,"nereocystis_luetkeana","0"
"87",2024,1,22,"alaria_marginata","0"
"88",2024,1,22,"costaria_costata","0"
"89",2024,2,9,"saccharina_latissima","0"
"90",2024,2,9,"nereocystis_luetkeana","0"
"91",2024,2,9,"alaria_marginata","0"
"92",2024,2,9,"costaria_costata","0"
"93",2024,2,19,"saccharina_latissima","0"
"94",2024,2,19,"nereocystis_luetkeana","0"
"95",2024,2,19,"alaria_marginata","0"
"96",2024,2,19,"costaria_costata","0"
"97",2024,3,13,"alaria_marginata","0"
"98",2024,3,13,"costaria_costata","0"
"99",2024,3,13,"nereocystis_luetkeana","0"
"100",2024,3,13,"saccharina_latissima","0"
"101",2024,3,16,"alaria_marginata","0"
"102",2024,3,16,"costaria_costata","0"
"103",2024,3,16,"nereocystis_luetkeana","0"
"104",2024,3,16,"saccharina_latissima","0"
"105",2024,4,12,"alaria_marginata","0"
"106",2024,4,12,"costaria_costata","1"
"107",2024,4,12,"nereocystis_luetkeana","1"
"108",2024,4,12,"saccharina_latissima","1"
