wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, air_temperature_yesterday_high, tendency_amount
5,99.8,4,90,96,4.6, 2024-01-21 00:00:00, , , , ,0.03
5,99.8,4.3,157.5,96,4.9, 2024-01-21 01:00:00, , , , ,-0.03
2,99.8,4.5,67.5,96,5, 2024-01-21 02:00:00, , , , ,-0.03
1,99.8,4.8,180,96,5.3, 2024-01-21 03:00:00, , , , ,-0.05
6,99.8,4.7,157.5,97,5.2, 2024-01-21 04:00:00, , , , ,0.01
2,99.8,4.7,180,97,5.1, 2024-01-21 05:00:00, , , , ,-0.02
3,99.8,4.7,90,97,5.1, 2024-01-21 06:00:00, , , , ,-0.01
0,99.8,4.9, ,97,5.3, 2024-01-21 07:00:00, , , , ,-0.03
4,99.8,5.8,90,98,6.1, 2024-01-21 08:00:00, , , , ,0.02
16,99.8,6,90,89,7.6, 2024-01-21 09:00:00, , ,30, ,0.03
3,99.9,6.1,135,92,7.4, 2024-01-21 10:00:00, , , , ,0.09
0,99.9,6.1, ,96,6.7, 2024-01-21 11:00:00, , , , ,0.08
2,99.8,6.7,292.5,96,7.3, 2024-01-21 12:00:00, , , , ,-0.01
1,99.8,7.2,112.5,95,7.9, 2024-01-21 13:00:00, , , , ,-0.1
3,99.7,7.4,0,96,8.1, 2024-01-21 14:00:00, , , , ,-0.19
10,99.7,5.6,112.5,89,7.3, 2024-01-21 15:00:00,3.1,0, ,5.6,-0.06
3,99.7,6.3,315,95,7, 2024-01-21 16:00:00, , , , ,-0.01
3,99.8,6.3,0,94,7.1, 2024-01-21 17:00:00, , , , ,0.1
3,99.8,7.1,22.5,97,7.6, 2024-01-21 18:00:00, , , , ,0.02
6,99.8,6.8,315,96,7.5, 2024-01-21 19:00:00, , , , ,0.02
0,99.7,6.2, ,94,7.1, 2024-01-21 20:00:00, , , , ,-0.04
4,99.7,6.4,292.5,94,7.2, 2024-01-21 21:00:00, , , , ,-0.03
1,99.7,6.7,315,96,7.3, 2024-01-21 22:00:00, , , , ,-0.05
2,99.7,6.9,135,94,7.7, 2024-01-21 23:00:00, , , , ,0
2,99.7,6.6,45,95,7.4, 2024-01-22 00:00:00, , , , ,0
12,99.7,6.4,315,97,6.8, 2024-01-22 01:00:00, , , , ,-0.04
12,99.7,6.5,315,97,7, 2024-01-22 02:00:00, , , , ,-0.09
6,99.6,6.4,292.5,97,6.9, 2024-01-22 03:00:00, , , , ,-0.08
12,99.6,6.3,315,96,6.9, 2024-01-22 04:00:00, , , , ,-0.07
2,99.6,6.7,315,97,7.2, 2024-01-22 05:00:00, , , , ,-0.07
6,99.6,6.5,315,97,7, 2024-01-22 06:00:00, , , , ,-0.08
3,99.6,6.8,90,97,7.2, 2024-01-22 07:00:00, , , , ,0
3,99.7,6.5,180,97,6.9, 2024-01-22 08:00:00, , , , ,0.07
4,99.7,6.4,337.5,97,6.8, 2024-01-22 09:00:00, , , , ,0.15
4,99.8,6.1,315,97,6.6, 2024-01-22 10:00:00, , , , ,0.15
4,99.8,6.5,337.5,97,7, 2024-01-22 11:00:00, , , , ,0.16
1,99.8,6.8,247.5,97,7.2, 2024-01-22 12:00:00, , , , ,0.13
5,99.9,6.8,90,97,7.3, 2024-01-22 13:00:00, , , , ,0.14
5,99.9,6.5,337.5,97,6.9, 2024-01-22 14:00:00, , , , ,0.11
6,100,7,90,98,7.4, 2024-01-22 15:00:00,4.4,18.7, ,8.5,0.17
17,100.1,6.9,90,98,7.2, 2024-01-22 16:00:00, , , , ,0.19
23,100.2,7.3,90,98,7.6, 2024-01-22 17:00:00, , , , ,0.22
20,100.2,7.1,90,93,8.3, 2024-01-22 18:00:00, , , , ,0.23
16,100.3,7.1,90,93,8.2, 2024-01-22 19:00:00, , , , ,0.22
17,100.4,7.3,90,92,8.5, 2024-01-22 20:00:00, , , , ,0.22
