wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, snow_amount, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
90,2.3, ,8,0.04,12,99.9,2.3, , ,100, 2024-01-21 00:00:00, , 
90,2.2, ,8,-0.01,8,99.9,2.2, , ,100, 2024-01-21 01:00:00, , 
90,2.2, ,8,-0.01,14,99.9,2.2, , ,100, 2024-01-21 02:00:00, , 
112.5,2.2, ,8,-0.01,4,99.9,2.2, , ,100, 2024-01-21 03:00:00, , 
0,2.2, ,8,-0.03,1,99.9,2.2, , ,100, 2024-01-21 04:00:00, , 
112.5,2.4, ,8,-0.03,4,99.9,2.4, , ,100, 2024-01-21 05:00:00, , 
90,3.3, ,8,-0.03,12,99.9,3.3, , ,100, 2024-01-21 06:00:00, , 
90,2.8, ,8,0.02,16,99.9,2.8, , ,100, 2024-01-21 07:00:00, , 
67.5,4.1, ,8,0.02,14,99.9,4.1, , ,100, 2024-01-21 08:00:00, , 
90,4.5, ,8,0.02,15,99.9,4.5, , ,100, 2024-01-21 09:00:00, , 
90,4, ,8,0.1,12,100,4, , ,100, 2024-01-21 10:00:00, , 
67.5,4.1, ,8,0.1,10,100,4.1, , ,100, 2024-01-21 11:00:00, , 
45,6.4, ,8,0.1,18,99.9,6.4, , ,100, 2024-01-21 12:00:00, , 
67.5,7.2, ,8,-0.12,15,99.8,6.3, , ,94, 2024-01-21 13:00:00, , 
112.5,5.8, ,8,-0.12,18,99.8,4.9, , ,94, 2024-01-21 14:00:00, , 
67.5,5.7, ,8,-0.12,16,99.8,5.6,0,4.4,99, 2024-01-21 15:00:00,0.8,0
90,4.6, ,8,-0.01,13,99.8,4.6, , ,100, 2024-01-21 16:00:00, , 
67.5,5.8, ,8,-0.01,13,99.9,5.8, , ,100, 2024-01-21 17:00:00, , 
90,4.6, ,8,-0.01,21,99.9,4.6, , ,100, 2024-01-21 18:00:00, , 
90,4.8, ,8,0.01,15,99.9,4.8, , ,100, 2024-01-21 19:00:00, , 
90,5.6, ,8,0.01,15,99.8,5.6, , ,100, 2024-01-21 20:00:00, , 
90,5.6, ,8,0.01,14,99.8,5.6, , ,100, 2024-01-21 21:00:00, , 
90,5.1, ,8,-0.03,14,99.8,5.1, , ,100, 2024-01-21 22:00:00, , 
90,6.1, ,8,-0.03,16,99.8,6.1, , ,100, 2024-01-21 23:00:00, , 
45,7.5, ,8,-0.03,15,99.8,7.5, , ,100, 2024-01-22 00:00:00, , 
90,5.9, ,8,-0.05,13,99.8,5.7, , ,99, 2024-01-22 01:00:00, , 
90,6, ,8,-0.05,17,99.8,6, , ,100, 2024-01-22 02:00:00, , 
90,5.2, ,8,-0.05,7,99.7,5.2, , ,100, 2024-01-22 03:00:00, , 
45,6.1, ,8,-0.08,8,99.7,6.1, , ,100, 2024-01-22 04:00:00, , 
67.5,6.4, ,8,-0.08,21,99.7,6.4, , ,100, 2024-01-22 05:00:00, , 
225,5.8, ,8,-0.08,6,99.7,5.8, , ,100, 2024-01-22 06:00:00, , 
135,6, ,8,0.04,3,99.7,6, , ,100, 2024-01-22 07:00:00, , 
90,5.5, ,8,0.04,6,99.8,5.5, , ,100, 2024-01-22 08:00:00, , 
67.5,6.9, ,8,0.04,14,99.8,6.9, , ,100, 2024-01-22 09:00:00, , 
90,6.4, ,8,0.13,14,99.9,6.4, , ,100, 2024-01-22 10:00:00, , 
112.5,6.9, ,8,0.13,15,99.9,6.9, , ,100, 2024-01-22 11:00:00, , 
90,7.1, ,8,0.13,13,100,7.1, , ,100, 2024-01-22 12:00:00, , 
90,7.2, ,8,0.13,7,100,7.2, , ,100, 2024-01-22 13:00:00, , 
90,6.9, ,8,0.13,13,100,6.9, , ,100, 2024-01-22 14:00:00, , 
90,7, ,8,0.13,15,100.1,7,0,7.5,100, 2024-01-22 15:00:00,1.6,12.4
90,7.1, ,8,0.2,14,100.2,7.1, , ,100, 2024-01-22 16:00:00, , 
90,7.3, ,8,0.2,15,100.3,7.3, , ,100, 2024-01-22 17:00:00, , 
90,7.1, ,8,0.2,16,100.4,7.1, , ,100, 2024-01-22 18:00:00, , 
90,7.4, ,8,0.22,14,100.4,7.4, , ,100, 2024-01-22 19:00:00, , 
90,7.3, ,8,0.22,15,100.5,7.3, , ,100, 2024-01-22 20:00:00, , 
90,7.3, ,8,0.22,16,100.5,7.3, , ,100, 2024-01-22 21:00:00, , 
90,7.4, ,8,0.18,14,100.6,7.4, , ,100, 2024-01-22 22:00:00, , 
90,7.4, ,8,0.18,14,100.6,7.4, , ,100, 2024-01-22 23:00:00, , 
90,7.4, ,8,0.18,17,100.7,7.4, , ,100, 2024-01-23 00:00:00, , 
90,7.3, ,8,0.11,16,100.7,7.3, , ,100, 2024-01-23 01:00:00, , 
90,7, ,8,0.11,10,100.8,7, , ,100, 2024-01-23 02:00:00, , 
90,7.2, ,8,0.11,12,100.8,7.2, , ,100, 2024-01-23 03:00:00, , 
90,7.4, ,8,0.11,12,100.8,7.4, , ,100, 2024-01-23 04:00:00, , 
112.5,7, ,8,0.11,10,100.8,7, , ,100, 2024-01-23 05:00:00, , 
67.5,7.5, ,8,0.11,12,100.9,7.5, , ,100, 2024-01-23 06:00:00, , 
67.5,7.4, ,8,0.12,10,100.9,7.4, , ,100, 2024-01-23 07:00:00, , 
67.5,7.1, ,8,0.12,13,101,7.1, , ,100, 2024-01-23 08:00:00, , 
67.5,7.4, ,8,0.12,15,101.1,7.4, , ,100, 2024-01-23 09:00:00, , 
90,7.9, ,8,0.18,15,101.1,7.9, , ,100, 2024-01-23 10:00:00, , 
90,7.8, ,8,0.18,16,101.2,7.8, , ,100, 2024-01-23 11:00:00, , 
90,8.2, ,8,0.18,14,101.2,8.2, , ,100, 2024-01-23 12:00:00, , 
90,8.6, ,8,0.09,16,101.2,8.6, , ,100, 2024-01-23 13:00:00, , 
112.5,9.2, ,8,0.09,22,101.2,9.2, , ,100, 2024-01-23 14:00:00, , 
135,9.1, ,8,0.09,15,101.2,9.1,0,7.6,100, 2024-01-23 15:00:00,4.9,14.4
135,8.7, ,7,0.09,8,101.3,8.7, , ,100, 2024-01-23 16:00:00, , 
90,8.2, ,7,0.09,14,101.3,8.2, , ,100, 2024-01-23 17:00:00, , 
90,7.3, ,8,0.09,17,101.3,7.3, , ,100, 2024-01-23 18:00:00, , 
90,8, ,8,0.01,12,101.3,8, , ,100, 2024-01-23 19:00:00, , 
112.5,8, ,8,0.01,19,101.3,8, , ,100, 2024-01-23 20:00:00, , 
90,7.8, ,8,0.01,14,101.3,7.8, , ,100, 2024-01-23 21:00:00, , 
90,8, ,8,-0.09,18,101.2,7.5, , ,97, 2024-01-23 22:00:00, , 
90,7.5, ,8,-0.09,16,101.2,5.6, , ,88, 2024-01-23 23:00:00, , 
90,7.7, ,8,-0.09,17,101.1,5.1, , ,84, 2024-01-24 00:00:00, , 
67.5,8, ,8,-0.21,16,101,5.2, , ,83, 2024-01-24 01:00:00, , 
90,6.7, ,8,-0.21,16,101,5.4, , ,91, 2024-01-24 02:00:00, , 
90,6.1, ,8,-0.21,13,100.9,5.5, , ,96, 2024-01-24 03:00:00, , 
90,6.2, ,8,-0.18,27,100.8,6, , ,99, 2024-01-24 04:00:00, , 
90,6.4, ,8,-0.18,26,100.7,5.9, , ,97, 2024-01-24 05:00:00, , 
67.5,6.8, ,8,-0.18,22,100.7,6, , ,95, 2024-01-24 06:00:00, , 
67.5,7.4, ,8,-0.22,26,100.6,6, , ,91, 2024-01-24 07:00:00, , 
67.5,7.3, ,8,-0.22,25,100.6,5.5, , ,88, 2024-01-24 08:00:00, , 
67.5,7.1,34,8,-0.22,23,100.5,5.4, , ,89, 2024-01-24 09:00:00, , 
67.5,7.2, ,8,-0.06,26,100.5,5.5, , ,89, 2024-01-24 10:00:00, , 
67.5,7.3, ,7,-0.06,23,100.6,5.8, , ,90, 2024-01-24 11:00:00, , 
112.5,6.9, ,8,-0.06,24,100.6,6.5, , ,97, 2024-01-24 12:00:00, , 
90,7, ,8,0.07,21,100.6,6.8, , ,99, 2024-01-24 13:00:00, , 
90,7.8,33,7,0.07,23,100.6,7.4, , ,97, 2024-01-24 14:00:00, , 
90,7.8,31,8,0.07,20,100.6,7.2,0,9.7,96, 2024-01-24 15:00:00,6.7,13.5
90,7.3, ,8,0.05,22,100.7,6.7, , ,96, 2024-01-24 16:00:00, , 
67.5,7.1, ,7,0.05,19,100.7,6.9, , ,99, 2024-01-24 17:00:00, , 
67.5,7.5, ,8,0.05,17,100.8,7, , ,97, 2024-01-24 18:00:00, , 
67.5,7.5, ,8,0.12,15,100.8,7, , ,97, 2024-01-24 19:00:00, , 
90,7.3, ,8,0.12,19,100.8,6.5, , ,95, 2024-01-24 20:00:00, , 
90,6.8, ,8,0.12,18,100.9,6.1, , ,95, 2024-01-24 21:00:00, , 
90,7.1, ,7,0.18,23,101,6, , ,93, 2024-01-24 22:00:00, , 
90,7.4, ,8,0.18,21,101,6, , ,91, 2024-01-24 23:00:00, , 
90,7.4, ,8,0.18,20,101.1,6, , ,91, 2024-01-25 00:00:00, , 
90,7.4,31,8,0.12,19,101.1,6.1, , ,91, 2024-01-25 01:00:00, , 
90,7.5, ,8,0.12,18,101.1,6.1, , ,91, 2024-01-25 02:00:00, , 
90,7.7, ,8,0.12,20,101.2,5.7, , ,87, 2024-01-25 03:00:00, , 
67.5,7.5, ,8,0.14,22,101.2,6.3, , ,92, 2024-01-25 04:00:00, , 
67.5,7.7, ,8,0.14,21,101.3,6.4, , ,92, 2024-01-25 05:00:00, , 
90,7.4, ,8,0.14,23,101.3,6.2, , ,92, 2024-01-25 06:00:00, , 
90,7.2, ,8,0.18,19,101.4,6.5, , ,95, 2024-01-25 07:00:00, , 
90,7.1, ,8,0.18,24,101.5,6.7, , ,97, 2024-01-25 08:00:00, , 
90,7.2, ,8,0.18,24,101.5,6.5, , ,95, 2024-01-25 09:00:00, , 
90,7.2, ,8,0.24,21,101.6,7, , ,99, 2024-01-25 10:00:00, , 
90,7.3, ,8,0.24,22,101.7,7.3, , ,100, 2024-01-25 11:00:00, , 
90,7.3, ,8,0.24,19,101.7,7.3, , ,100, 2024-01-25 12:00:00, , 
90,7.6, ,8,0.1,19,101.7,7.4, , ,99, 2024-01-25 13:00:00, , 
90,7.9, ,8,0.1,17,101.7,7.5, , ,97, 2024-01-25 14:00:00, , 
90,8,41,8,0.1,19,101.8,7.5,0,8.2,97, 2024-01-25 15:00:00,5.9,13.3
90,7.7, ,8,0.07,18,101.8,7.4, , ,98, 2024-01-25 16:00:00, , 
90,7.7, ,8,0.07,18,101.9,7.4, , ,98, 2024-01-25 17:00:00, , 
90,7.6, ,8,0.07,18,101.9,7.3, , ,98, 2024-01-25 18:00:00, , 
90,7.6, ,8,0.12,17,101.9,7.4, , ,99, 2024-01-25 19:00:00, , 
90,7.2, ,8,0.12,18,102,7.2, , ,100, 2024-01-25 20:00:00, , 
90,7.4, ,8,0.12,19,102,7.4, , ,100, 2024-01-25 21:00:00, , 
