wind_direction, air_temperature, wind_gust_speed, tendency_amount, wind_speed, mean_sea_level, dew_point, snow_amount, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
,3.3, ,0.03, ,99.9,3.1, , ,99, 2024-01-21 00:00:00, , 
,5.8, ,-0.03, ,99.9,5.7, , ,99, 2024-01-21 01:00:00, , 
,5.5, ,-0.03, ,99.9,5.3, , ,99, 2024-01-21 02:00:00, , 
,7.1, ,-0.03, ,99.9,6.8, , ,98, 2024-01-21 03:00:00, , 
,5.2, ,0.02, ,99.9,4.7, , ,97, 2024-01-21 04:00:00, , 
,6.2, ,-0.01, ,99.9,5.9, , ,98, 2024-01-21 05:00:00, , 
,6.6, ,-0.01, ,99.9,6.2, , ,98, 2024-01-21 06:00:00, , 
,6.6, ,-0.01, ,99.9,6.2, , ,98, 2024-01-21 07:00:00, , 
,6.8, ,0.07, ,99.9,6.5, , ,98, 2024-01-21 09:00:00, , 
,6.9, ,0.1, ,100,6.5, , ,98, 2024-01-21 10:00:00, , 
,6.9, ,0.07, ,100,6.5, , ,97, 2024-01-21 11:00:00, , 
,7.2, ,-0.02, ,99.9,6.9, , ,98, 2024-01-21 12:00:00, , 
,7.9, ,-0.1, ,99.9,7.1, , ,95, 2024-01-21 13:00:00, , 
,8.2, ,-0.18, ,99.8,6.9, , ,92, 2024-01-21 14:00:00, , 
,8, ,-0.07, ,99.8,6.6, ,4.6,91, 2024-01-21 15:00:00,1.7,0
,8, ,-0.01, ,99.8,7.1, , ,94, 2024-01-21 16:00:00, , 
,7.8, ,0.1, ,99.9,7.1, , ,95, 2024-01-21 17:00:00, , 
,7.6, ,0.03, ,99.9,6.9, , ,95, 2024-01-21 18:00:00, , 
,7.8, ,0.01, ,99.9,7, , ,94, 2024-01-21 19:00:00, , 
,8.3, ,-0.04, ,99.8,7, , ,92, 2024-01-21 20:00:00, , 
90,8.3, ,-0.04,7,99.8,7.1, , ,92, 2024-01-21 21:00:00, , 
67.5,8.6, ,-0.03,5,99.8,6.7, , ,88, 2024-01-21 22:00:00, , 
90,8.1, ,-0.01,3,99.8,6.8, , ,92, 2024-01-21 23:00:00, , 
67.5,7.9, ,-0.02,4,99.8,6.8, , ,93, 2024-01-22 00:00:00, , 
67.5,8.6, ,-0.03,7,99.8,7.8, , ,95, 2024-01-22 01:00:00, , 
67.5,8.8, ,-0.08,8,99.7,7.3, , ,91, 2024-01-22 02:00:00, , 
67.5,8.5, ,-0.08,6,99.7,7.2, , ,92, 2024-01-22 03:00:00, , 
90,8, ,-0.1,3,99.7,7.3, , ,95, 2024-01-22 04:00:00, , 
45,7.5, ,-0.06,3,99.7,7.2, , ,98, 2024-01-22 05:00:00, , 
67.5,7.5, ,-0.06,4,99.7,7.1, , ,97, 2024-01-22 06:00:00, , 
157.5,6.5, ,0.02,3,99.7,6, , ,97, 2024-01-22 07:00:00, , 
,6.2, ,0.06,0,99.7,5.9, , ,98, 2024-01-22 08:00:00, , 
112.5,6.8, ,0.12,2,99.8,6.6, , ,98, 2024-01-22 09:00:00, , 
,7.2, ,0.13,0,99.8,6.9, , ,98, 2024-01-22 10:00:00, , 
45,7.9, ,0.14,3,99.9,7.6, , ,98, 2024-01-22 11:00:00, , 
67.5,8.3, ,0.13,2,99.9,7.9, , ,98, 2024-01-22 12:00:00, , 
67.5,7.6, ,0.14,1,100,7.2, , ,97, 2024-01-22 13:00:00, , 
90,8, ,0.14,4,100,7.6, , ,97, 2024-01-22 14:00:00, , 
67.5,7.9, ,0.18,2,100.1,7.6, ,9.2,98, 2024-01-22 15:00:00,3.2,26.9
90,7.7, ,0.21,4,100.2,7.3, , ,98, 2024-01-22 16:00:00, , 
90,7.5, ,0.26,4,100.3,7.1, , ,98, 2024-01-22 17:00:00, , 
67.5,7.4, ,0.26,4,100.4,7.1, , ,98, 2024-01-22 18:00:00, , 
90,7.5, ,0.23,4,100.4,7.2, , ,98, 2024-01-22 19:00:00, , 
67.5,7.6, ,0.2,3,100.5,7.4, , ,98, 2024-01-22 20:00:00, , 
90,7.6, ,0.18,6,100.6,7.3, , ,98, 2024-01-22 21:00:00, , 
67.5,7.7, ,0.18,1,100.6,7.4, , ,98, 2024-01-22 22:00:00, , 
67.5,7.6, ,0.14,4,100.7,7.3, , ,98, 2024-01-22 23:00:00, , 
90,7.7, ,0.1,5,100.7,7.4, , ,98, 2024-01-23 00:00:00, , 
90,7.7, ,0.1,2,100.7,7.4, , ,98, 2024-01-23 01:00:00, , 
112.5,7.7, ,0.1,1,100.7,7.4, , ,98, 2024-01-23 02:00:00, , 
45,7.2, ,0.1,1,100.8,6.9, , ,98, 2024-01-23 03:00:00, , 
67.5,7.2, ,0.09,1,100.8,6.9, , ,98, 2024-01-23 04:00:00, , 
,7.1, ,0.08,0,100.8,6.9, , ,98, 2024-01-23 05:00:00, , 
90,7.1, ,0.11,3,100.9,6.9, , ,98, 2024-01-23 06:00:00, , 
,7.3, ,0.12,0,100.9,7.1, , ,98, 2024-01-23 07:00:00, , 
,7.3, ,0.14,0,101,7.1, , ,99, 2024-01-23 08:00:00, , 
67.5,7.6, ,0.13,1,101,7.4, , ,99, 2024-01-23 09:00:00, , 
67.5,7.9, ,0.17,2,101.1,7.6, , ,99, 2024-01-23 10:00:00, , 
90,8, ,0.19,4,101.2,7.8, , ,98, 2024-01-23 11:00:00, , 
67.5,8, ,0.18,2,101.2,7.7, , ,98, 2024-01-23 12:00:00, , 
67.5,8, ,0.11,3,101.2,7.7, , ,98, 2024-01-23 13:00:00, , 
90,8.1, ,0.02,7,101.2,7.7, , ,98, 2024-01-23 14:00:00, , 
112.5,7.9, ,0.05,2,101.3,7.6, ,9.3,98, 2024-01-23 15:00:00,6.2,24.6
67.5,7.9, ,0.09,3,101.3,7.6, , ,98, 2024-01-23 16:00:00, , 
67.5,7.9, ,0.13,1,101.3,7.7, , ,98, 2024-01-23 17:00:00, , 
67.5,7.8, ,0.05,3,101.3,7.5, , ,98, 2024-01-23 18:00:00, , 
45,7.6, ,-0.01,1,101.3,7.3, , ,98, 2024-01-23 19:00:00, , 
45,7.5, ,-0.04,1,101.3,7.2, , ,98, 2024-01-23 20:00:00, , 
90,7.4, ,-0.03,6,101.3,7.1, , ,98, 2024-01-23 21:00:00, , 
67.5,7.3, ,-0.05,7,101.3,6.8, , ,96, 2024-01-23 22:00:00, , 
90,7.4, ,-0.07,8,101.2,5.8, , ,90, 2024-01-23 23:00:00, , 
67.5,7.7, ,-0.13,7,101.1,4.8, , ,82, 2024-01-24 00:00:00, , 
67.5,7.9, ,-0.22,5,101,4.3, , ,78, 2024-01-24 01:00:00, , 
67.5,8, ,-0.24,6,101,4.2, , ,77, 2024-01-24 02:00:00, , 
67.5,7.4, ,-0.22,3,100.9,4.4, , ,81, 2024-01-24 03:00:00, , 
90,8.5, ,-0.21,6,100.8,3.6, , ,71, 2024-01-24 04:00:00, , 
90,8.6, ,-0.26,6,100.7,3.8, , ,72, 2024-01-24 05:00:00, , 
67.5,6.9, ,-0.24,6,100.7,4.9, , ,87, 2024-01-24 06:00:00, , 
90,6.3, ,-0.19,8,100.6,5.1, , ,92, 2024-01-24 07:00:00, , 
67.5,5.8, ,-0.1,6,100.6,4.9, , ,94, 2024-01-24 08:00:00, , 
90,5.6, ,-0.1,3,100.6,5.1, , ,96, 2024-01-24 09:00:00, , 
67.5,5.7, ,-0.03,6,100.6,4.7, , ,94, 2024-01-24 10:00:00, , 
67.5,6.6, ,-0.03,6,100.6,5, , ,89, 2024-01-24 11:00:00, , 
67.5,7.2, ,0.01,6,100.6,5.5, , ,89, 2024-01-24 12:00:00, , 
67.5,7.5, ,0.02,5,100.6,5.5, , ,88, 2024-01-24 13:00:00, , 
67.5,7.3, ,0.06,6,100.6,6.3, , ,93, 2024-01-24 14:00:00, , 
45,7.3, ,0.09,6,100.7,5.8, ,8.3,91, 2024-01-24 15:00:00,7,26.3
67.5,7.3, ,0.07,6,100.7,6, , ,92, 2024-01-24 16:00:00, , 
90,7.2, ,0.12,2,100.8,6.3, , ,94, 2024-01-24 17:00:00, , 
67.5,7.2, ,0.08,4,100.8,6.6, , ,96, 2024-01-24 18:00:00, , 
67.5,7.4, ,0.11,7,100.8,6.9, , ,97, 2024-01-24 19:00:00, , 
45,7.4, ,0.12,3,100.9,6.9, , ,97, 2024-01-24 20:00:00, , 
67.5,7.3, ,0.16,6,100.9,6.8, , ,96, 2024-01-24 21:00:00, , 
90,7.3, ,0.19,6,101,6.6, , ,95, 2024-01-24 22:00:00, , 
67.5,7.4, ,0.18,5,101.1,6.4, , ,94, 2024-01-24 23:00:00, , 
67.5,7.8, ,0.18,8,101.1,6, , ,89, 2024-01-25 00:00:00, , 
67.5,7, ,0.13,4,101.1,6.4, , ,96, 2024-01-25 01:00:00, , 
67.5,6.9, ,0.12,4,101.2,6.3, , ,96, 2024-01-25 02:00:00, , 
67.5,7, ,0.11,7,101.2,6.2, , ,95, 2024-01-25 03:00:00, , 
67.5,6.9, ,0.13,6,101.3,6.2, , ,96, 2024-01-25 04:00:00, , 
90,6.9, ,0.14,7,101.3,6.2, , ,95, 2024-01-25 05:00:00, , 
67.5,6.7, ,0.15,6,101.4,6.1, , ,96, 2024-01-25 06:00:00, , 
67.5,6.6, ,0.17,5,101.4,6.1, , ,96, 2024-01-25 07:00:00, , 
67.5,6.5, ,0.15,4,101.5,6, , ,96, 2024-01-25 08:00:00, , 
90,6.4, ,0.19,5,101.6,5.8, , ,96, 2024-01-25 09:00:00, , 
90,6.5, ,0.21,8,101.6,6, , ,96, 2024-01-25 10:00:00, , 
67.5,6.6, ,0.23,6,101.7,6, , ,96, 2024-01-25 11:00:00, , 
67.5,6.7, ,0.18,5,101.7,6.1, , ,96, 2024-01-25 12:00:00, , 
45,6.7, ,0.11,6,101.8,6.1, , ,96, 2024-01-25 13:00:00, , 
67.5,6.9, ,0.06,4,101.8,6.4, , ,97, 2024-01-25 14:00:00, , 
45,7.1, ,0.07,1,101.8,6.7, ,8.8,97, 2024-01-25 15:00:00,5.5,15.5
45,7.1, ,0.07,7,101.8,6.6, , ,97, 2024-01-25 16:00:00, , 
45,7.2, ,0.12,2,101.9,6.8, , ,97, 2024-01-25 17:00:00, , 
45,7.3, ,0.12,4,101.9,6.9, , ,97, 2024-01-25 18:00:00, , 
67.5,7.2, ,0.11,4,102,6.8, , ,97, 2024-01-25 19:00:00, , 
