Date,observations (m),Observations minus predictions (m)
2023-08-13 20:18 PDT,4.193,
2023-08-13 20:17 PDT,4.197,
2023-08-13 20:16 PDT,4.199,
2023-08-13 20:15 PDT,4.213,
2023-08-13 20:14 PDT,4.214,
2023-08-13 20:13 PDT,4.209,
2023-08-13 20:12 PDT,4.207,
2023-08-13 20:11 PDT,4.218,
2023-08-13 20:10 PDT,4.233,
2023-08-13 20:09 PDT,4.233,
2023-08-13 20:08 PDT,4.23,
2023-08-13 20:07 PDT,4.233,
2023-08-13 20:06 PDT,4.242,
2023-08-13 20:05 PDT,4.256,
2023-08-13 20:04 PDT,4.259,
2023-08-13 20:03 PDT,4.249,
2023-08-13 20:02 PDT,4.252,
2023-08-13 20:01 PDT,4.261,
2023-08-13 20:00 PDT,4.27,
2023-08-13 19:59 PDT,4.27,
2023-08-13 19:58 PDT,4.261,
2023-08-13 19:57 PDT,4.27,
2023-08-13 19:56 PDT,4.289,
2023-08-13 19:55 PDT,4.289,
2023-08-13 19:54 PDT,4.277,
2023-08-13 19:53 PDT,4.275,
2023-08-13 19:52 PDT,4.286,
2023-08-13 19:51 PDT,4.303,
2023-08-13 19:50 PDT,4.308,
2023-08-13 19:49 PDT,4.298,
2023-08-13 19:48 PDT,4.296,
2023-08-13 19:47 PDT,4.299,
2023-08-13 19:46 PDT,4.319,
2023-08-13 19:45 PDT,4.312,
2023-08-13 19:44 PDT,4.305,
2023-08-13 19:43 PDT,4.305,
2023-08-13 19:42 PDT,4.319,
2023-08-13 19:41 PDT,4.332,
2023-08-13 19:40 PDT,4.331,
2023-08-13 19:39 PDT,4.322,
2023-08-13 19:38 PDT,4.324,
2023-08-13 19:37 PDT,4.341,
2023-08-13 19:36 PDT,4.343,
2023-08-13 19:35 PDT,4.343,
2023-08-13 19:34 PDT,4.341,
2023-08-13 19:33 PDT,4.348,
2023-08-13 19:32 PDT,4.348,
2023-08-13 19:31 PDT,4.355,
2023-08-13 19:30 PDT,4.351,
2023-08-13 19:29 PDT,4.358,
2023-08-13 19:28 PDT,4.371,
2023-08-13 19:27 PDT,4.371,
2023-08-13 19:26 PDT,4.378,
2023-08-13 19:25 PDT,4.371,
2023-08-13 19:24 PDT,4.374,
2023-08-13 19:23 PDT,4.381,
2023-08-13 19:22 PDT,4.398,
2023-08-13 19:21 PDT,4.402,
2023-08-13 19:20 PDT,4.393,
2023-08-13 19:19 PDT,4.4,
2023-08-13 19:18 PDT,4.405,
2023-08-13 19:17 PDT,4.418,
2023-08-13 19:16 PDT,4.407,
2023-08-13 19:15 PDT,4.409,
2023-08-13 19:14 PDT,4.414,
2023-08-13 19:13 PDT,4.424,
2023-08-13 19:12 PDT,4.424,
2023-08-13 19:11 PDT,4.424,
2023-08-13 19:10 PDT,4.428,
2023-08-13 19:09 PDT,4.437,
2023-08-13 19:08 PDT,4.449,
2023-08-13 19:07 PDT,4.443,
2023-08-13 19:06 PDT,4.44,
2023-08-13 19:05 PDT,4.436,
2023-08-13 19:04 PDT,4.44,
2023-08-13 19:03 PDT,4.442,
2023-08-13 19:02 PDT,4.44,
2023-08-13 19:01 PDT,4.445,
2023-08-13 19:00 PDT,4.44,
2023-08-13 18:59 PDT,4.45,
2023-08-13 18:58 PDT,4.456,
2023-08-13 18:57 PDT,4.461,
2023-08-13 18:56 PDT,4.451,
2023-08-13 18:55 PDT,4.459,
2023-08-13 18:54 PDT,4.463,
2023-08-13 18:53 PDT,4.463,
2023-08-13 18:52 PDT,4.464,
2023-08-13 18:51 PDT,4.459,
2023-08-13 18:50 PDT,4.461,
2023-08-13 18:49 PDT,4.464,
2023-08-13 18:48 PDT,4.463,
2023-08-13 18:47 PDT,4.469,
2023-08-13 18:46 PDT,4.463,
2023-08-13 18:45 PDT,4.459,
2023-08-13 18:44 PDT,4.464,
2023-08-13 18:43 PDT,4.473,
2023-08-13 18:42 PDT,4.47,
2023-08-13 18:41 PDT,4.471,
2023-08-13 18:40 PDT,4.464,
2023-08-13 18:39 PDT,4.456,
2023-08-13 18:38 PDT,4.457,
2023-08-13 18:37 PDT,4.454,
2023-08-13 18:36 PDT,4.463,
2023-08-13 18:35 PDT,4.477,
2023-08-13 18:34 PDT,4.466,
2023-08-13 18:33 PDT,4.45,
2023-08-13 18:32 PDT,4.447,
2023-08-13 18:31 PDT,4.454,
2023-08-13 18:30 PDT,4.461,
2023-08-13 18:29 PDT,4.466,
2023-08-13 18:28 PDT,4.476,
2023-08-13 18:27 PDT,4.454,
2023-08-13 18:26 PDT,4.454,
2023-08-13 18:25 PDT,4.443,
2023-08-13 18:24 PDT,4.459,
2023-08-13 18:23 PDT,4.473,
2023-08-13 18:22 PDT,4.459,
2023-08-13 18:21 PDT,4.457,
2023-08-13 18:20 PDT,4.463,
2023-08-13 18:19 PDT,4.464,
2023-08-13 18:18 PDT,4.459,
2023-08-13 18:17 PDT,4.447,
2023-08-13 18:16 PDT,4.449,
2023-08-13 18:15 PDT,4.457,
2023-08-13 18:14 PDT,4.461,
