transect_id,distance_from_seawall_m,standiapole_height_m,time_PDT,year,month,day,correction,height_measure,extrapolated_quadrat_height_m
2,0,2.55,13:27,2023,8,13,none,real,
2,5,2.03,13:28,2023,8,13,vh,real,
2,10,1.9,13:28,2023,8,13,vh,real,
2,15,2.55,10:56,2023,8,13,vh,real,
2,20,2.08,10:55,2023,8,13,vh,real,
2,25,2.62,11:57,2023,8,1,vh,real,
2,30,2.47,11:55,2023,8,1,vh,real,
2,35,2.27,11:54,2023,8,1,vh,real,
2,40,1.88,11:52,2023,8,1,vh,real,
2,45,,,,,,,extrapolated,0
3,0,2.7,13:20,2023,8,13,none,real,
3,5,2.04,13:21,2023,8,13,vh,real,
3,10,1.82,13:22,2023,8,13,vh,real,
3,15,-0.09,13:24,2023,8,13,none,real,
3,20,2.15,11:06,2023,8,13,vh,real,
3,25,2.04,11:05,2023,8,13,vh,real,
3,30,1.88,11:04,2023,8,13,vh,real,
3,35,1.76,11:03,2023,8,13,vh,real,
3,40,1.66,11:03,2023,8,13,vh,real,
3,45,0,11:02,2023,8,13,none,real,
3,50,-0.12,11:16,2023,8,13,none,real,
3,55,-0.19,11:14,2023,8,13,none,real,
3,60,-0.23,11:12,2023,8,13,none,real,
3,65,-0.22,11:13,2023,8,13,none,real,
3,70,-0.31,11:19,2023,8,13,none,real,
3,75,1.85,11:26,2023,8,1,vh,real,
3,80,1.75,11:26,2023,8,1,vh,real,
3,85,1.72,11:24,2023,8,1,vh,real,
3,90,1.63,11:23,2023,8,1,vh,real,
3,95,,,,,,,extrapolated,0
4,0,2.47,13:32,2023,8,13,none,real,
4,5,2.06,13:33,2023,8,13,vh,real,
4,10,1.85,13:33,2023,8,13,vh,real,
4,15,2.65,11:33,2023,8,13,vh,real,
4,20,2.2,11:32,2023,8,13,vh,real,
4,25,1.88,11:31,2023,8,13,vh,real,
4,30,1.75,11:31,2023,8,13,vh,real,
4,35,1.65,11:30,2023,8,13,vh,real,
4,40,-0.05,11:29,2023,8,13,none,real,
4,45,-0.11,11:28,2023,8,13,none,real,
4,50,-0.21,11:27,2023,8,13,none,real,
4,55,-0.28,11:26,2023,8,13,none,real,
4,60,1.93,11:41,2023,8,1,vh,real,
4,65,1.88,11:39,2023,8,1,vh,real,
4,70,1.75,11:38,2023,8,1,vh,real,
4,75,1.72,11:37,2023,8,1,vh,real,
4,80,1.58,11:36,2023,8,1,vh,real,
4,85,,,,,,,extrapolated,0
4,90,,,,,,,extrapolated,-0.1
