PTM,genus,species,collected
,Ahnfeltia,fastigiata,n
,Alaria,marginata,n
,Besa,leptophylla,n
,Bonnemaisonia,californica,n
,Caulacanthus,ustulatus,n
,Cladophora,microcladioides,n
,Cladophora,pygmaea,n
,Constantinea,subulifera,n
,Costaria,costata,n
,Crustose,coralline,n
,Cryptosiphonia,woodii,n
,Desmarestia,herbacea,n
,Desmarestia,ligulata,n
,Elachista,fucicola,n
,Hildenbrandia,sp,n
,Hincksia,ovata,n
,Hollenbergia,subulata,n
,Laminariales,juvenile,n
,Mastocarpus-crust,sp,n
,Mastocarpus-upright,sp,n
,Melanosiphon,intestinalis,n
,Neoharaldiophyllum,nottii,n
,Nereocystis,luetkeana,n
,Petalonia,fascia,n
,Pterothamnion,sp,n
,Pyropia,sp,n
,Rhizoclonium,tortuosum,n
,Rosenvingiella,polyrhiza,n
,Saccharina,latissima,n
,Sarcodiotheca,gaudichaudii,n
,Sargassum,muticum,n
,Schizymenia,pacifica,n
,Ulvoid,sp,y
2482,Desmarestia,viridis,y
2481,Mazzaella,splendens,y
2480,Chondracanthus,exasperatus,y
2479,Wildemania,sp,y
2478,Scytosiphon,sp,y
2477,Odonthalia,floccosa,y
2476,Sparlingia,pertusa,y
2475,Gracilaria,sp,y
2474,Odonthalia,floccosa,y
2473,Polyneura,latissima,y
2472,Cumathamnion,decipiens,y
2471,Prionitis,sternbergii,y
2470,Pikea,pinnata,y
2469,Odonthalia,floccosa,y
2468,Ulothrix,palusalsa,y
2467,Rhodoptilum,plumosum,y
2466,Chondracanthus,exasperatus,y
2465,Neodilsea,borealis,y
2464,Pterothamnion,pectinatum,y
2463,Scagelia,pylaisaei,y
2462,Ulothrix,speciosa,y
2461,Euthora,cristata,y
2460,Acrosiphonia,coalita,y
2459,Chondracanthus,exasperatus,y
2458,Fucus,distichus,y
2457,Gracilaria,sp,y
2456,Mastocarpus,sp,y
2455,Mastocarpus,sp,y
2454,Polyneura,latissima,y
2453,Campylaephora,gardneri,y
2452,Odonthalia,floccosa,y
2451,Callophyllis,sp,y
2450,Grateloupia,californica,y
2449,Ceramothamnion,pacificum,y
2448,Acrosiphonia,arcta,y
2447,Polysiphonia,sp,y
2446,Ulva,intestinalis,y
2445,Savoiea,robusta,y
2444,Gracilaria,sp,y
2165,Ulva,fenestrata,y
2164,Ulva,linza,y
2163,Ulva,intestinalis,y
2162,Ulva,fenestrata,y
2161,Ulva,linza,y
2160,Ulva,intestinalis,y
2159,Ulva,fenestrata,y
2158,Ulva,linza,y
2157,Ulva,intestinalis,y
2156,Ulva,fenestrata,y
2155,Ulva,linza,y
2154,Ulva,intestinalis,y
